name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,In_DreamTeam,Season
Fabian Schär,DEF,Newcastle,0,3,43,1,14.6,366,7,0,1,10.6,66,2022-08-06T14:00:00Z,90,16,0,0,0,0,1,0,40132,0,2,25,15,0,0,0,45,TRUE,0,1,0,22-23
Jonny Evans,DEF,Leicester,0,0,15,0,1.3,249,6,2,0,1.5,14,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,24256,2,2,0,1,0,0,0,45,TRUE,0,1,0,22-23
Brennan Johnson,FWD,Nott'm Forest,0,0,3,0,0.9,394,7,2,0,0.6,0,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,0,171887,0,2,6,2,0,0,0,60,FALSE,0,1,0,22-23
Cheick Doucouré,MID,Crystal Palace,0,0,16,0,3.8,514,1,1,0,1,5.8,2022-08-05T19:00:00Z,74,1,0,0,0,0,1,0,9875,2,0,0,2,0,0,0,50,TRUE,0,1,0,22-23
Wesley Fofana,DEF,Leicester,0,0,12,0,3.3,272,6,2,0,2.9,19.2,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,128115,2,2,6,1,0,0,0,45,TRUE,0,1,0,22-23
Alisson Ramses Becker,GK,Liverpool,0,0,11,0,0,281,4,2,0,0.8,8.2,2022-08-06T11:30:00Z,90,9,0,0,0,0,1,1,1567712,2,2,0,1,0,0,0,55,FALSE,0,1,0,22-23
Tosin Adarabioyo,DEF,Fulham,0,0,11,0,0.4,209,4,2,0,1.9,18.4,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,5971,2,2,0,1,0,0,0,45,TRUE,0,1,0,22-23
Marek Rodák,GK,Fulham,0,0,11,0,0,213,4,2,0,1,10.2,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,1,12206,2,2,0,1,0,0,0,45,TRUE,0,1,0,22-23
Rodrigo Hernandez,MID,Man City,0,0,18,1,5.8,315,10,0,0,2.3,16,2022-08-07T15:30:00Z,88,19,0,0,0,0,1,0,220268,2,0,1,3,0,0,0,60,FALSE,0,1,0,22-23
Jack Grealish,MID,Man City,0,0,19,1,29.2,305,10,0,0,5,7.2,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,327616,2,0,14,3,0,0,0,70,FALSE,0,1,0,22-23
Leander Dendoncker,MID,Wolves,0,0,21,0,16.5,479,5,2,0,7.8,24.4,2022-08-06T14:00:00Z,90,11,0,0,0,0,1,0,13096,1,2,37,2,0,0,0,50,FALSE,0,1,0,22-23
Aleksandar Mitrović,FWD,Fulham,0,3,57,0,14.7,210,4,2,2,15.5,82,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,509091,2,2,58,13,0,0,0,65,TRUE,0,1,0,22-23
Christian Eriksen,MID,Man Utd,0,0,17,0,42.5,519,9,2,0,10.5,28.6,2022-08-07T13:00:00Z,90,5,0,0,0,0,1,0,361793,2,1,34,2,0,0,0,65,TRUE,0,1,0,22-23
Joe Willock,MID,Newcastle,0,0,6,1,14.4,373,7,0,0,8.1,14,2022-08-06T14:00:00Z,79,16,0,0,0,0,1,0,45439,0,2,53,3,0,0,0,50,TRUE,0,1,0,22-23
Roméo Lavia,MID,Southampton,0,0,17,0,4.3,321,8,4,0,2.4,12,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,18407,1,4,8,2,0,0,0,45,FALSE,0,1,0,22-23
Joe Ayodele-Aribo,MID,Southampton,0,0,5,0,5.2,512,8,4,0,3.8,9.4,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,50924,1,4,23,2,0,0,0,55,FALSE,0,1,0,22-23
Cristian Romero,DEF,Spurs,0,0,11,0,2.7,443,8,1,0,2.4,8,2022-08-06T14:00:00Z,90,17,0,0,0,0,1,0,200747,1,4,13,2,0,0,0,50,TRUE,0,1,0,22-23
Jack Harrison,MID,Leeds,1,2,25,0,78.8,233,5,1,0,12.4,34.8,2022-08-06T14:00:00Z,90,20,0,0,0,0,1,0,79451,1,2,10,6,0,0,0,60,TRUE,1,1,0,22-23
Nathaniel Clyne,DEF,Crystal Palace,0,0,9,0,14.1,157,1,2,0,2.3,8.4,2022-08-05T19:00:00Z,90,1,0,0,0,0,1,0,11649,2,0,0,0,0,0,0,45,TRUE,1,1,0,22-23
Stuart Armstrong,MID,Southampton,0,0,0,0,2.6,405,8,2,0,0.6,3.4,2022-08-06T14:00:00Z,45,18,0,0,0,0,1,0,9352,1,4,0,1,0,0,0,50,FALSE,0,1,0,22-23
Oriol Romeu Vidal,MID,Southampton,0,0,9,0,3.8,402,8,4,0,1.2,6.2,2022-08-06T14:00:00Z,74,18,0,0,0,0,1,0,10319,1,4,2,2,0,0,0,50,FALSE,0,1,0,22-23
Rodrigo Moreno,MID,Leeds,0,0,23,0,1.1,225,5,1,1,6.5,34.8,2022-08-06T14:00:00Z,64,20,0,0,0,0,1,0,73866,1,2,29,7,0,0,0,60,TRUE,0,1,1,22-23
Mohammed Salisu,DEF,Southampton,0,0,7,0,17,420,8,4,0,3.9,16,2022-08-06T14:00:00Z,90,18,1,0,0,0,1,0,14247,1,4,6,-2,0,0,0,45,FALSE,0,1,0,22-23
Frederico Rodrigues de Paula Santos,MID,Man Utd,0,0,6,0,3.1,331,9,2,0,0.5,1,2022-08-07T13:00:00Z,52,5,0,0,0,0,1,0,83919,2,1,1,1,0,0,0,55,TRUE,0,1,0,22-23
Erling Haaland,FWD,Man City,0,3,48,1,4.8,318,10,0,2,14,62.6,2022-08-07T15:30:00Z,77,19,0,0,0,0,1,0,3398599,2,0,73,13,0,0,0,115,FALSE,0,1,0,22-23
Phil Foden,MID,Man City,0,0,19,1,30.4,314,10,0,0,5.1,10.8,2022-08-07T15:30:00Z,87,19,0,0,0,0,1,0,482845,2,0,10,3,0,0,0,80,FALSE,0,1,0,22-23
Scott McTominay,MID,Man Utd,0,0,1,0,2.1,338,9,2,0,2.7,0,2022-08-07T13:00:00Z,77,5,0,0,0,0,1,0,22964,2,1,26,1,0,0,0,50,TRUE,1,1,0,22-23
Dean Henderson,GK,Nott'm Forest,0,0,26,0,0,398,7,2,0,4.8,48,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,7,434219,0,2,0,3,0,0,0,45,FALSE,0,1,0,22-23
Mason Holgate,DEF,Everton,0,0,9,0,0.5,192,3,1,0,4.8,27,2022-08-06T16:30:00Z,72,6,0,0,0,0,1,0,10243,1,0,20,1,0,0,0,45,TRUE,1,1,0,22-23
Kevin De Bruyne,MID,Man City,1,0,24,1,43,301,10,0,0,8.7,24.4,2022-08-07T15:30:00Z,87,19,0,0,0,0,1,0,1151254,2,0,20,6,0,0,0,120,FALSE,0,1,1,22-23
Diego Carlos Santos Silva,DEF,Aston Villa,0,0,8,0,1.5,50,2,2,0,1.4,9.2,2022-08-06T14:00:00Z,90,3,0,0,0,0,1,0,92038,0,2,3,1,0,0,0,50,FALSE,0,1,0,22-23
Ben Mee,DEF,Brentford,0,0,9,0,1.4,526,6,2,0,0.9,7.8,2022-08-07T13:00:00Z,58,10,0,0,0,0,1,0,26294,2,2,0,0,0,0,0,45,FALSE,0,1,1,22-23
João Cancelo,DEF,Man City,0,2,27,1,18.9,306,10,0,0,3.9,15.4,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,3569038,2,0,5,7,0,0,0,70,FALSE,1,1,1,22-23
Bruno Borges Fernandes,MID,Man Utd,0,0,14,0,35,333,9,2,0,5.4,10.8,2022-08-07T13:00:00Z,89,5,0,0,0,0,1,0,266667,2,1,8,2,0,0,0,100,TRUE,0,1,0,22-23
Tyler Adams,MID,Leeds,0,0,7,0,12,506,5,1,0,2.4,11,2022-08-06T14:00:00Z,90,20,0,0,0,0,1,0,12574,1,2,1,1,0,0,0,50,TRUE,1,1,0,22-23
Mark Travers,GK,Bournemouth,0,0,24,1,0,72,2,0,0,1.5,14.6,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,2,24837,0,2,0,6,0,0,0,45,TRUE,0,1,0,22-23
Jordan Zemura,DEF,Bournemouth,0,0,25,1,10.7,76,2,0,0,3.4,21.6,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,0,9212,0,2,2,6,0,0,0,45,TRUE,0,1,0,22-23
Ivan Toney,FWD,Brentford,0,2,26,0,25.8,80,6,2,1,8.8,39,2022-08-07T13:00:00Z,90,10,0,0,0,0,1,0,438961,2,2,23,8,0,0,0,70,FALSE,0,1,1,22-23
Pontus Jansson,DEF,Brentford,0,0,17,0,0.5,78,6,2,0,1.9,18.2,2022-08-07T13:00:00Z,90,10,0,0,0,0,1,0,186616,2,2,0,1,0,0,0,45,FALSE,0,1,0,22-23
Kurt Zouma,DEF,West Ham,0,0,8,0,0.2,461,10,2,0,1.5,13,2022-08-07T15:30:00Z,90,13,0,0,0,0,1,0,110499,2,0,2,1,0,0,0,45,TRUE,0,1,0,22-23
Moussa Djenepo,MID,Southampton,1,0,16,0,12.2,418,8,4,0,4.7,22.6,2022-08-06T14:00:00Z,71,18,0,0,0,0,1,0,2795,1,4,12,5,0,0,0,50,FALSE,0,1,0,22-23
Morgan Gibbs-White,MID,Wolves,0,0,9,0,23.6,493,5,2,0,4.8,11.6,2022-08-06T14:00:00Z,90,11,0,0,0,0,1,0,13163,1,2,13,2,0,0,0,55,FALSE,0,1,0,22-23
Matty Cash,DEF,Aston Villa,0,0,15,0,11,43,2,2,0,3.4,13.2,2022-08-06T14:00:00Z,90,3,0,0,0,0,1,0,1603398,0,2,10,1,0,0,0,50,FALSE,0,1,0,22-23
Vitalii Mykolenko,DEF,Everton,0,0,4,0,15.7,194,3,1,0,3.3,15.8,2022-08-06T16:30:00Z,90,6,0,0,0,0,1,0,23854,1,0,1,1,0,0,0,45,TRUE,1,1,0,22-23
Kyle Walker,DEF,Man City,0,0,24,1,7.7,299,10,0,0,1.4,6.6,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,733920,2,0,0,6,0,0,0,50,FALSE,0,1,0,22-23
Dominic Solanke,FWD,Bournemouth,0,0,2,1,0.6,66,2,0,0,4.8,4.4,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,0,102656,0,2,43,2,0,0,0,60,TRUE,0,1,0,22-23
Vitaly Janelt,MID,Brentford,0,0,14,0,23.7,86,6,2,0,4.1,15.2,2022-08-07T13:00:00Z,90,10,0,0,0,0,1,0,4785,2,2,2,2,0,0,0,55,FALSE,0,1,0,22-23
Robert Sánchez,GK,Brighton,0,1,19,0,0,113,9,1,0,4,40,2022-08-07T13:00:00Z,90,14,0,0,0,0,1,5,892941,2,1,0,4,0,0,0,45,FALSE,0,1,0,22-23
Edouard Mendy,GK,Chelsea,0,0,28,1,0,147,3,0,0,2.8,27.8,2022-08-06T16:30:00Z,90,8,0,0,0,0,1,3,1595369,1,0,0,7,0,0,0,50,FALSE,0,1,0,22-23
Pierre-Emile Højbjerg,MID,Spurs,0,0,16,0,26.9,433,8,1,0,4.7,19.8,2022-08-06T14:00:00Z,90,17,0,0,0,0,1,0,74064,1,4,0,2,0,0,0,55,TRUE,0,1,1,22-23
Declan Rice,MID,West Ham,0,0,10,0,1.3,467,10,2,0,2.5,19.8,2022-08-07T15:30:00Z,90,13,0,0,0,0,1,0,501042,2,0,4,2,0,0,0,50,TRUE,0,1,0,22-23
Daniel Amartey,DEF,Leicester,0,0,16,0,13.3,257,6,2,0,2.5,10.8,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,23381,2,2,1,1,0,0,0,45,TRUE,0,1,0,22-23
Anthony Gordon,MID,Everton,0,0,5,0,1.4,195,3,1,0,1.6,2.2,2022-08-06T16:30:00Z,90,6,0,0,0,0,1,0,104719,1,0,12,2,0,0,0,55,TRUE,0,1,0,22-23
David Raya Martin,GK,Brentford,0,0,15,0,0,81,6,2,0,2,19.8,2022-08-07T13:00:00Z,90,10,0,0,0,0,1,3,495719,2,2,0,2,0,0,0,45,FALSE,0,1,0,22-23
Aaron Hickey,DEF,Brentford,0,0,8,0,2.2,510,6,2,0,0.4,1.8,2022-08-07T13:00:00Z,83,10,0,0,0,0,1,0,25558,2,2,0,1,0,0,0,50,FALSE,0,1,0,22-23
Solly March,MID,Brighton,1,0,15,0,2.8,107,9,1,0,3.2,10.2,2022-08-07T13:00:00Z,90,14,0,0,0,0,1,0,7192,2,1,19,5,0,0,0,50,FALSE,0,1,0,22-23
Brenden Aaronson,MID,Leeds,0,0,4,0,2,246,5,1,0,2.2,3.6,2022-08-06T14:00:00Z,84,20,0,0,0,0,1,0,85765,1,2,16,2,0,0,0,55,TRUE,0,1,0,22-23
Danny Ward,GK,Leicester,0,0,11,0,0,254,6,2,0,1,9.8,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,1,1983925,2,2,0,1,0,0,0,40,TRUE,0,1,0,22-23
Joachim Andersen,DEF,Crystal Palace,0,0,20,0,12.2,165,1,2,0,5.6,37.4,2022-08-05T19:00:00Z,90,1,0,0,0,0,1,0,218564,2,0,6,1,0,0,0,45,TRUE,0,1,0,22-23
Jack Stephens,DEF,Southampton,0,0,5,0,2.5,404,8,2,0,1.5,12.2,2022-08-06T14:00:00Z,45,18,0,0,0,0,1,0,4265,1,4,0,0,0,0,0,45,FALSE,0,1,0,22-23
Wilfred Ndidi,MID,Leicester,0,0,12,0,5.1,265,6,2,0,1.5,9.8,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,24916,2,2,0,2,0,0,0,50,TRUE,0,1,0,22-23
Ederson Santana de Moraes,GK,Man City,0,1,26,1,0,307,10,0,0,1.4,14.4,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,1,1240294,2,0,0,7,0,0,0,55,FALSE,0,1,0,22-23
Jarrod Bowen,MID,West Ham,0,0,5,0,0.7,465,10,2,0,2.9,6.6,2022-08-07T15:30:00Z,90,13,0,0,0,0,1,0,547187,2,0,22,2,0,0,0,85,TRUE,0,1,0,22-23
Jan Bednarek,DEF,Southampton,0,0,18,0,21,410,8,4,0,4,14.6,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,42818,1,4,4,0,0,0,0,45,FALSE,0,1,0,22-23
Bryan Mbeumo,FWD,Brentford,0,0,13,0,15.8,95,6,2,0,5.1,11.8,2022-08-07T13:00:00Z,90,10,0,0,0,0,1,0,219038,2,2,23,2,0,0,0,60,FALSE,0,1,0,22-23
Marcus Rashford,MID,Man Utd,0,0,-1,0,13,335,9,2,0,5,1.8,2022-08-07T13:00:00Z,90,5,0,0,0,0,1,0,964460,2,1,35,2,0,0,0,65,TRUE,0,1,0,22-23
Lucas Digne,DEF,Aston Villa,0,0,11,0,22.4,33,2,2,0,4.4,13.2,2022-08-06T14:00:00Z,90,3,0,0,0,0,1,0,342130,0,2,8,1,0,0,0,50,FALSE,0,1,0,22-23
Nathan Aké,DEF,Man City,0,1,26,1,0.6,308,10,0,0,3.1,26.2,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,56953,2,0,4,7,0,0,0,50,FALSE,0,1,0,22-23
Bukayo Saka,MID,Arsenal,1,0,10,1,7.6,13,1,0,0,4.5,1.8,2022-08-05T19:00:00Z,90,7,0,0,0,0,1,0,1772492,2,0,36,6,0,0,0,80,FALSE,0,1,0,22-23
Lloyd Kelly,DEF,Bournemouth,1,3,40,1,14.1,73,2,0,0,6.6,49.6,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,0,8029,0,2,2,12,0,0,0,45,TRUE,0,1,0,22-23
Trent Alexander-Arnold,DEF,Liverpool,0,0,13,0,20.9,285,4,2,0,3.5,12.2,2022-08-06T11:30:00Z,90,9,0,0,0,0,1,0,4694983,2,2,2,1,0,0,0,75,FALSE,0,1,0,22-23
Kiernan Dewsbury-Hall,MID,Leicester,0,3,34,0,15.3,266,6,1,1,6.7,42.4,2022-08-07T13:00:00Z,72,4,0,0,0,0,1,0,62732,2,2,9,10,0,0,0,50,TRUE,0,1,0,22-23
Mohamed Salah,MID,Liverpool,1,2,34,0,20,283,4,2,1,8.5,39.6,2022-08-06T11:30:00Z,90,9,0,0,0,0,1,0,4848340,2,2,25,12,0,0,0,130,FALSE,0,1,0,22-23
Thomas Partey,MID,Arsenal,0,0,17,1,12.9,6,1,0,0,4.6,22.6,2022-08-05T19:00:00Z,90,7,0,0,0,0,1,0,39617,2,0,10,3,0,0,0,50,FALSE,0,1,0,22-23
Gavin Bazunu,GK,Southampton,0,0,20,0,0,422,8,4,0,3.4,33.6,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,5,57701,1,4,0,1,0,0,0,45,FALSE,0,1,0,22-23
Ben Chilwell,DEF,Chelsea,1,0,27,1,4.7,139,3,0,0,1,3.2,2022-08-06T16:30:00Z,64,8,0,0,0,0,1,0,280300,1,0,2,9,0,0,0,60,FALSE,0,1,0,22-23
Lewis Dunk,DEF,Brighton,0,0,9,0,0.1,106,9,1,0,1.6,12.2,2022-08-07T13:00:00Z,90,14,0,0,0,0,1,0,147708,2,1,4,2,0,0,0,45,FALSE,0,1,0,22-23
William Saliba,DEF,Arsenal,0,2,30,1,0.1,26,1,0,0,2.2,22.2,2022-08-05T19:00:00Z,90,7,0,0,0,0,1,0,163701,2,0,0,8,0,0,0,45,FALSE,0,1,0,22-23
Emiliano Buendía Stati,MID,Aston Villa,0,0,8,0,15.8,42,2,1,0,2.3,4.8,2022-08-06T14:00:00Z,45,3,0,0,0,0,1,0,42305,0,2,2,1,0,0,0,60,FALSE,0,1,0,22-23
Son Heung-min,MID,Spurs,1,0,23,0,52.5,428,8,1,0,14.5,36.2,2022-08-06T14:00:00Z,90,17,0,0,0,0,1,0,1929156,1,4,56,5,0,0,0,120,TRUE,0,1,0,22-23
Aaron Ramsdale,GK,Arsenal,0,0,25,1,0,15,1,0,0,1.9,19,2022-08-05T19:00:00Z,90,7,0,0,0,0,1,2,1128297,2,0,0,6,0,0,0,50,FALSE,0,1,0,22-23
Tyrick Mitchell,DEF,Crystal Palace,0,0,11,0,1.9,170,1,2,0,1.6,13.8,2022-08-05T19:00:00Z,90,1,0,0,0,0,1,0,74150,2,0,0,1,0,0,0,45,TRUE,0,1,0,22-23
Max Kilman,DEF,Wolves,0,0,20,0,0.5,484,5,2,0,3.1,24.8,2022-08-06T14:00:00Z,90,11,0,0,0,0,1,0,71840,1,2,6,1,0,0,0,45,FALSE,0,1,0,22-23
Dwight McNeil,MID,Everton,0,0,20,0,15.9,534,3,1,0,3.3,14.6,2022-08-06T16:30:00Z,60,6,0,0,0,0,1,0,33086,1,0,2,2,0,0,0,55,TRUE,0,1,0,22-23
N'Golo Kanté,MID,Chelsea,0,0,18,1,31.3,134,3,0,0,6.8,27.4,2022-08-06T16:30:00Z,90,8,0,0,0,0,1,0,281900,1,0,9,3,0,0,0,50,FALSE,0,1,0,22-23
Harry Toffolo,DEF,Nott'm Forest,0,0,11,0,1.7,523,7,2,0,1,8.6,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,0,7659,0,2,0,1,0,0,0,45,FALSE,0,1,0,22-23
Jefferson Lerma Solís,MID,Bournemouth,0,2,30,1,0.2,64,2,0,1,5.9,42,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,0,3496,0,2,17,10,0,0,0,50,TRUE,0,1,0,22-23
Ezri Konsa Ngoyo,DEF,Aston Villa,0,0,16,0,1.3,44,2,2,0,2.2,20.8,2022-08-06T14:00:00Z,90,3,0,0,0,0,1,0,22328,0,2,0,1,0,0,0,45,FALSE,0,1,0,22-23
Chris Mepham,DEF,Bournemouth,0,1,29,1,0.1,71,2,0,0,3.7,37,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,0,4990,0,2,0,7,0,0,0,45,TRUE,0,1,0,22-23
Roberto Firmino,FWD,Liverpool,0,0,4,0,4.2,279,4,1,0,1.8,7.4,2022-08-06T11:30:00Z,50,9,0,0,0,0,1,0,109701,2,2,6,1,0,0,0,80,FALSE,0,1,0,22-23
Thiago Alcántara do Nascimento,MID,Liverpool,0,0,8,0,16.8,277,4,1,0,2.3,6.4,2022-08-06T11:30:00Z,50,9,0,0,0,0,1,0,175766,2,2,0,1,0,0,0,55,FALSE,0,1,0,22-23
João Palhinha Gonçalves,MID,Fulham,0,0,10,0,1.2,220,4,2,0,5.4,15,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,11496,2,2,38,2,0,0,0,50,TRUE,0,1,0,22-23
Kieran Trippier,DEF,Newcastle,0,1,32,1,41.4,357,7,0,0,7.1,19.8,2022-08-06T14:00:00Z,90,16,0,0,0,0,1,0,1570068,0,2,10,7,0,0,0,50,TRUE,0,1,0,22-23
Moussa Niakhaté,DEF,Nott'm Forest,0,0,10,0,0.3,507,7,2,0,1.7,16.8,2022-08-06T14:00:00Z,82,15,0,0,0,0,1,0,12386,0,2,0,1,0,0,0,45,FALSE,0,1,0,22-23
Kyle Walker-Peters,DEF,Southampton,0,0,10,0,4.2,409,8,4,0,2.8,20.2,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,98712,1,4,4,0,0,0,0,45,FALSE,0,1,0,22-23
Joelinton Cássio Apolinário de Lira,MID,Newcastle,1,0,28,1,46.1,371,7,0,0,11.1,39,2022-08-06T14:00:00Z,90,16,0,0,0,0,1,0,42379,0,2,26,6,0,0,0,60,TRUE,0,1,0,22-23
Alex Iwobi,MID,Everton,0,0,16,0,22.1,186,3,1,0,3.8,13.8,2022-08-06T16:30:00Z,90,6,0,0,0,0,1,0,11182,1,0,2,2,0,0,0,55,TRUE,0,1,0,22-23
Ben Pearson,MID,Bournemouth,0,0,3,1,1.3,68,2,0,0,0.6,4.2,2022-08-06T14:00:00Z,71,2,0,0,0,0,1,0,14038,0,2,0,2,0,0,0,45,TRUE,1,1,0,22-23
Joel Matip,DEF,Liverpool,0,0,19,0,1.8,276,4,2,0,3.2,30.4,2022-08-06T11:30:00Z,90,9,0,0,0,0,1,0,211558,2,2,0,1,0,0,0,60,FALSE,0,1,0,22-23
Fabio Henrique Tavares,MID,Liverpool,0,0,12,0,4.3,282,4,1,0,1.6,9.8,2022-08-06T11:30:00Z,58,9,0,0,0,0,1,0,79661,2,2,2,1,0,0,0,55,FALSE,0,1,0,22-23
Tomas Soucek,MID,West Ham,0,0,10,0,0.8,468,10,2,0,0.8,7.6,2022-08-07T15:30:00Z,90,13,0,0,0,0,1,0,152608,2,0,0,2,0,0,0,55,TRUE,0,1,0,22-23
Wilfried Zaha,MID,Crystal Palace,0,0,16,0,30.4,160,1,2,0,7.6,13.6,2022-08-05T19:00:00Z,90,1,0,0,0,0,1,0,624984,2,0,32,2,0,0,0,70,TRUE,0,1,0,22-23
Granit Xhaka,MID,Arsenal,0,0,12,1,15,3,1,0,0,3.4,16.6,2022-08-05T19:00:00Z,90,7,0,0,0,0,1,0,48303,2,0,2,2,0,0,0,50,FALSE,1,1,1,22-23
Lisandro Martínez,DEF,Man Utd,0,0,16,0,1.6,533,9,2,0,6.6,27.2,2022-08-07T13:00:00Z,90,5,0,0,0,0,1,0,248752,2,1,37,0,0,0,0,45,TRUE,1,1,0,22-23
Michail Antonio,FWD,West Ham,0,0,1,0,0.3,458,10,1,0,2,0,2022-08-07T15:30:00Z,56,13,0,0,0,0,1,0,393620,2,0,22,1,0,0,0,75,TRUE,0,1,0,22-23
Rodrigo Bentancur,MID,Spurs,0,0,19,0,4,440,8,1,0,2,16.4,2022-08-06T14:00:00Z,85,17,0,0,0,0,1,0,29440,1,4,0,1,0,0,0,55,TRUE,1,1,0,22-23
Mason Mount,MID,Chelsea,0,0,5,1,5,142,3,0,0,3.7,8.6,2022-08-06T16:30:00Z,64,8,0,0,0,0,1,0,808300,1,0,23,3,0,0,0,80,FALSE,0,1,0,22-23
Kai Havertz,FWD,Chelsea,0,0,1,1,4.4,145,3,0,0,5.3,1.6,2022-08-06T16:30:00Z,74,8,0,0,0,0,1,0,356575,1,0,47,2,0,0,0,80,FALSE,0,1,0,22-23
Adam Armstrong,FWD,Southampton,0,0,0,0,0.8,408,8,2,0,0,0,2022-08-06T14:00:00Z,45,18,0,0,0,0,1,0,58462,1,4,1,1,0,0,0,55,FALSE,0,1,0,22-23
Joe Worrall,DEF,Nott'm Forest,0,0,9,0,0.4,388,7,2,0,1.6,16,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,0,10564,0,2,0,0,0,0,0,45,FALSE,1,1,0,22-23
Danny Welbeck,FWD,Brighton,1,2,20,0,34.9,103,9,1,0,11.2,24.8,2022-08-07T13:00:00Z,90,14,0,0,0,0,1,0,34057,2,1,52,7,0,0,0,65,FALSE,0,1,0,22-23
Jorge Luiz Frello Filho,MID,Chelsea,0,3,32,1,18.1,130,3,0,1,7.6,39,2022-08-06T16:30:00Z,90,8,0,0,0,0,1,0,114916,1,0,19,11,0,0,0,60,FALSE,0,1,0,22-23
Andreas Hoelgebaum Pereira,MID,Fulham,0,0,5,0,19.8,346,4,2,0,3.2,0.6,2022-08-06T11:30:00Z,88,12,0,0,0,0,1,0,2013818,2,2,12,2,0,0,0,45,TRUE,0,1,0,22-23
Rúben Gato Alves Dias,DEF,Man City,0,0,25,1,1.4,312,10,0,0,2,16.6,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,917791,2,0,2,6,0,0,0,60,FALSE,0,1,0,22-23
Oleksandr Zinchenko,DEF,Arsenal,1,3,38,1,23.3,313,1,0,0,8.4,40,2022-08-05T19:00:00Z,82,7,0,0,0,0,1,0,1170032,2,0,21,12,0,0,0,50,FALSE,0,1,0,22-23
Emerson Leite de Souza Junior,DEF,Spurs,2,1,30,0,23.3,445,8,1,0,7.8,30.6,2022-08-06T14:00:00Z,86,17,0,0,0,0,1,0,53050,1,4,24,9,0,0,0,50,TRUE,0,1,0,22-23
Daniel Castelo Podence,MID,Wolves,0,3,28,0,41,483,5,2,1,11,41,2022-08-06T14:00:00Z,90,11,0,0,0,0,1,0,38556,1,2,28,10,0,0,0,55,FALSE,0,1,0,22-23
Adam Smith,DEF,Bournemouth,0,0,13,1,1.3,57,2,0,0,1.2,6.2,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,0,12696,0,2,4,5,0,0,0,45,TRUE,1,1,0,22-23
Leandro Trossard,MID,Brighton,0,0,7,0,40.9,111,9,1,0,6.9,8,2022-08-07T13:00:00Z,74,14,0,0,0,0,1,0,177238,2,1,20,1,0,0,0,65,FALSE,1,1,0,22-23
Ben Johnson,DEF,West Ham,0,0,13,0,0.3,471,10,2,0,1.8,17.8,2022-08-07T15:30:00Z,90,13,0,0,0,0,1,0,8532,2,0,0,1,0,0,0,45,TRUE,0,1,0,22-23
Jesse Lingard,MID,Nott'm Forest,0,0,2,0,18.5,527,7,2,0,4.3,6,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,0,459837,0,2,18,2,0,0,0,60,FALSE,0,1,0,22-23
Nathan Patterson,DEF,Everton,0,0,12,0,3.4,197,3,1,0,2.4,16.4,2022-08-06T16:30:00Z,90,6,0,0,0,0,1,0,257701,1,0,4,2,0,0,0,40,TRUE,0,1,0,22-23
Sam Surridge,FWD,Nott'm Forest,0,0,3,0,0.8,391,7,1,0,1.4,5.4,2022-08-06T14:00:00Z,62,15,0,0,0,0,1,0,125873,0,2,8,2,0,0,0,50,FALSE,0,1,0,22-23
Jamie Vardy,FWD,Leicester,1,0,18,0,10.8,255,6,2,0,4.1,26.4,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,398397,2,2,4,5,0,0,0,95,TRUE,0,1,0,22-23
