name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,In_DreamTeam,Season
Danny Welbeck,FWD,Brighton,0,0,2,0,0,103,152,2,0,0,0,2022-11-13T14:00:00Z,58,2,0,0,0,0,16,0,145515,2,1,0,1,-793,18119,18912,65,TRUE,0,16,0,22-23
Jorge Luiz Frello Filho,MID,Chelsea,0,0,6,0,1.4,130,156,1,0,1.2,10.4,2022-11-12T17:30:00Z,90,15,0,0,0,0,16,0,241385,0,1,0,1,-15718,1787,17505,58,FALSE,1,16,0,22-23
Andreas Hoelgebaum Pereira,MID,Fulham,0,0,5,0,0,346,153,2,0,0,0,2022-11-13T16:30:00Z,90,14,0,0,0,0,16,0,2622877,2,1,0,2,-17225,71526,88751,46,TRUE,0,16,0,22-23
Oleksandr Zinchenko,DEF,Arsenal,0,1,29,1,28.5,313,160,0,0,5,16.2,2022-11-12T19:45:00Z,90,20,0,0,0,0,16,0,862036,2,0,5,7,34886,45922,11036,50,FALSE,0,16,0,22-23
Emerson Leite de Souza Junior,DEF,Spurs,0,0,4,0,3.2,445,158,2,0,3.7,8.8,2022-11-12T15:00:00Z,56,11,0,0,0,0,16,0,216648,3,4,25,0,-3765,4855,8620,49,TRUE,0,16,0,22-23
Michael Olise,MID,Crystal Palace,0,0,10,0,21.6,171,157,1,0,3.1,7.8,2022-11-12T15:00:00Z,90,16,0,0,0,0,16,0,29747,0,1,2,2,8996,10523,1527,54,FALSE,0,16,0,22-23
Adam Smith,DEF,Bournemouth,0,2,28,1,14.8,57,151,0,0,3.6,21.2,2022-11-12T15:00:00Z,90,8,0,0,0,0,16,0,24218,0,3,0,8,1848,4653,2805,44,TRUE,0,16,0,22-23
Leandro Trossard,MID,Brighton,0,0,10,0,0,111,152,2,0,0,0,2022-11-13T14:00:00Z,90,2,0,0,0,0,16,0,3041104,2,1,0,2,221299,288434,67135,71,TRUE,0,16,0,22-23
Jesse Lingard,MID,Nott'm Forest,0,0,6,1,10.9,527,157,0,0,1.6,0.6,2022-11-12T15:00:00Z,80,7,0,0,0,0,16,0,161210,0,1,4,3,-4789,1699,6488,54,TRUE,0,16,0,22-23
Nathan Patterson,DEF,Everton,0,0,9,0,13.2,197,151,3,0,4.3,9.6,2022-11-12T15:00:00Z,90,3,0,0,0,0,16,0,452515,0,3,20,1,12101,26299,14198,40,FALSE,0,16,0,22-23
